num,win_bi,appear_d,appear_r,appear_3,many_rep,same_rep,same_fas,art11,case_fine,fas_main,length_m,VAR00001,year,count_rep1,num_old,number,dec_nam1,regi,article,case_type,wtf,fine,simple,rep1,fas1,prejudice,prejud_des,return,return_old_des,same_judge,reg_dec,dec_num,dec_real,dec_typ1,dec_t_o1,dec_2_ro,dec_typ2,dec_t_o2,dec_nam2,dec_3_ro,dec_typ3,dec_t_o3,dec_nam3,expert,exp_cont,opros,anketa,statist,mark_gds,mark_reg,mark_r_o,a10pn,a10p1,a10p2,a10p3,a10p4,a10p5,a10p6,a10p7,a10p8,a10p9,a10p10,a10p11,a11p1,a11p2,a11p3,a11p4,a11p5,torg,r_win1,r_win2,r_win3,length_pages,small,date_bil,date_des,date_app,date_a_2,who_app,declar_a,resp_a,change_a,date_cas,who_cas,declar_c,resp_c,date_c_1,change_c,final,nadzor,judge,judge_count,jud_exp,inn1,count,spark1,ved1,okved2,okved4,inn2,spark2,ved2,inn3,spark3,ved3,cont,rep2,fas2,rep3,fas3,app_num,app_judges,app_exp,app_exp_cont,third_fas,pravo_ru,np,jud_gender,gender_rep1,gender_fas1,gen_rep_bi,gen_fas_bi,appeareance,gen_def
2917.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.533333333333333,,2013.0,2.0,1273.0,А26-3105/2013,"ООО ""Санаторий ""Марциальные воды""",26.0,3.0,1.0,,,,"Устюгова О.А., Матиешин А.М.",Грущакова Г.А.,,,,,,26.0,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,9.0,,2013-05-07,2013-09-20,2013-10-23,2013-12-13,0.0,1.0,0.0,0.0,,,,,,,2.0,0.0,26 Васильева Л. А.,5.0,2002.0,1001022834,1.0,144.0,Деятельность санаторно-курортных учреждений,85.0,85.11,,,,,,,,Устюгова О.А.,,,,13АП-23298/2013,Фокина Е. А. Абакумова И. Д. Савицкая И. Г.,,,1.0,,,0.0,2,0,,0.0,2.0,
2918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8333333333333335,,2013.0,,1274.0,А50-12318/2013,ОАО «ТГК - 9»,50.0,3.0,0.0,,100000.0,1.0,,,1.0,0.0,,,,50.0,1.0,1.0,33.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,,,1.0,,,,,1.0,,,,,,,,,,,,,0.0,,,8.0,,2013-07-03,2013-09-26,2013-10-21,2013-12-11,1.0,0.0,1.0,0.0,,,,,,,0.0,0.0,50 Мухитова Е. М.,32.0,2006.0,5904119383,3.0,47052.0,Оптовая торговля электрической и тепловой энергией (без их перед,51.0,51.56,,,,,,,,,Василенко А.С.,,,17АП-13322/2013,Варакса Н. В. Щеклеина Л. Ю. Риб Л. Х.,,,0.0,,,0.0,,,,,0.0,
2919.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6333333333333333,,2013.0,1.0,1275.0,А51-17903/2011,ООО «Востокстройсервис»,51.0,3.0,0.0,,306633.0,,Егоров М.В.,"Кравчук Ю.Н., Макарова Ю.А.",,,,,,51.0,1.0,1.0,31.0,,,,,,,,,,0.0,,1.0,0.0,0.0,вывоз ТБО,,,3.0,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,15.0,,2013-09-06,2013-09-25,,,,,,,,,,,,,1.0,0.0,51 Нестеренко Л. П.,6.0,2003.0,2536119611,2.0,,Производство общестроительных работ,45.0,45.21,,,,,,,,,,,,,,,,0.0,,,0.0,1,,1.0,,2.0,
2920.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6333333333333333,,2013.0,2.0,1276.0,А72-8008/2013,ООО «Диалог»,72.0,3.0,1.0,,,,"Трифонова Е.Л., Макарова Н.Н.",Яковлева К.Н.,,,,,,41.0,1.0,1.0,31.0,,,,,,,,,,1.0,"заключению экспертизы промышленной безопасности на газопровод высокого давления, владельцем которого является ООО «Диалог», газопровод соответствует предъявляемым требованиям.",0.0,0.0,0.0,газоснабжение,,,1.0,,,1.0,,,,,,,,,,,,,,,0.0,,,6.0,,2013-07-02,2013-09-19,2013-10-30,2013-12-02,1.0,1.0,0.0,0.0,,,,,,,0.0,0.0,72 Корастелёв В. А.,7.0,2013.0,5001060308,2.0,,Подготовка к продаже собственного недвижимого имущества,70.0,70.11,,,,,,,,Трифонова Е.Л.,,,,11АП-19966/2013,Семушкин В. С. Захарова Е. И. Юдкин А. А.,,,1.0,,,1.0,0,0,0.0,0.0,2.0,0.0
2921.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.266666666666667,,2013.0,1.0,1278.0,А64-2548/2013,ОАО «ТКС,64.0,3.0,0.0,,3313630.0,,Кузнецова Т.И.,"Мурзин К.И., Семикина К.С.",1.0,0.0,,,,64.0,1.0,1.0,33.0,,,,,,,,,,0.0,,0.0,0.0,0.0,электроэнергия,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,11.0,,2013-04-19,2013-09-24,2013-10-22,2013-12-12,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,64 Плахотников М. А.,12.0,2009.0,6832041909,2.0,1444.0,Производство пара и горячей воды (тепловой энергии) котельными,40.0,40.30,,,,,,,,,,,,19АП-5794/2013,Семенюта Е. А. Донцов П. В. Протасов А. И.,,,0.0,,,1.0,0,2,0.0,,2.0,
2922.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.7666666666666666,,2013.0,1.0,1279.0,А68-4447/2013,ООО «Жилстройсервис»,68.0,3.0,2.0,,606250.0,,Казютина О.Н.,Богданова С.А.,,,,,,68.0,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,вывоз ТБО,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,15.0,,2013-05-28,2013-09-18,2013-10-24,2013-12-03,1.0,1.0,0.0,0.0,,,,,,,0.0,0.0,68 Косоухова С. В.,10.0,2012.0,7130501681,1.0,36.0,Производство пара и горячей воды (тепловой энергии) котельными,40.0,40.30,,,,,,,,Казютина О.Н.,,,,20АП-7334/2013,Еремичева Н. В. Тиминская О. А. Стаханова В. Н.,,,0.0,,,0.0,0,0,0.0,0.0,2.0,0.0
2923.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.433333333333334,,2013.0,1.0,1280.0,А03-7099/2013,ОАО «МРСК Сибири»,3.0,3.0,1.0,,,,Матвиенко Д.В.,Черепанова Д.В.,,,,,,33.0,1.0,1.0,33.0,,,,,,,,,,0.0,,0.0,0.0,0.0,опломбирование счётчиков,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,10.0,,2013-05-08,2013-09-18,2013-11-06,2013-12-06,0.0,1.0,0.0,0.0,2014-02-07,0.0,1.0,0.0,2014-03-18,0.0,2.0,0.0,03 Ильичева Л. Ю.,16.0,2010.0,2460069527,132.0,49707.0,Передача электроэнергии,40.0,40.10,,,,,,,,Матвиенко Д.В.,,Паклина М.В.,,07АП-9730/2013,Бородулина И. И. Журавлева В. А. Усанина Н. А.,,,0.0,,,0.0,,0,,0.0,2.0,
2924.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.033333333333333,,2013.0,1.0,1282.0,А40-77166/2013,ГУП ЭВАЖД,40.0,3.0,0.0,,100000.0,,Журавлев А.В.,Большакова А.Е.,1.0,0.0,,,,40.0,1.0,1.0,36.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,,,1.0,1.0,,,,,,,,,,,,,,,,,0.0,,,7.0,,2013-06-19,2013-09-18,2013-10-08,2013-11-14,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,40 Кузнецова С. А.,13.0,2008.0,7704010270,28.0,2698.0,Управление эксплуатацией жилого фонда,70.0,70.32,,,,,,,,,,,,09АП-36312/2013,Якутов Э. В. Каменецкий Д. В. Свиридов В. А.,,,0.0,,,0.0,1,0,1.0,0.0,2.0,1.0
2925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8,,2013.0,,1283.0,А50-12317/2013,ООО «ПСК»,50.0,3.0,0.0,,100000.0,1.0,,,1.0,0.0,,,,50.0,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,8.0,,2013-07-03,2013-09-25,2013-10-14,2013-12-05,1.0,1.0,0.0,0.0,,,,,,,0.0,0.0,50 Мухитова Е. М.,32.0,2006.0,5904176536,14.0,5215.0,Передача пара и горячей воды (тепловой энергии),40.0,40.30,,,,,,,,Синцова И.А.,,,,17АП-12874/2013,Осипова С. П.,,,0.0,,,0.0,,,,,0.0,
2926.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,,2013.0,1.0,1285.0,А53-4448/13,ООО « ГРОССМЕЙСТЕР»,53.0,3.0,1.0,,,,Омельченко И.В.,Алексенко И.В.,,,,,,53.0,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,газоснабжение,,,1.0,,,,,,,,,,1.0,,,,,,,,2.0,,,9.0,,2013-03-12,2013-09-18,2013-10-31,2013-12-18,0.0,0.0,1.0,2.0,,,,,,,0.0,0.0,53 Чернышева И. В.,50.0,2010.0,6168003436,1.0,,Оптовая торговля через агентов (за вознаграждение или на договор,51.0,51.1,,,,,,,,,Опруженков А.В.,,,15АП-18561/2013,Сулименко О. А. Гуденица Т. Г. Ефимова О. Ю.,,,1.0,,,0.0,,1,,1.0,2.0,
